"","Adipocytes","Astrocytes","B_cells","Cardiomyocytes","Dendritic_cells","Endothelial_cells","Epithelial_cells","Erythrocytes","Fibroblasts","Granulocytes","Hepatocytes","Macrophages","Microglia","Monocytes","Neurons","NK_cells","Oligodendrocytes","T_cells"
"104","Fstl1","Slc7a10","Ikzf1","Itgb1bp2","Tgfbi","Fzd6","Maob","Slc25a37","Parva","Mxd1","Col18a1","Dapk1","Plcb2","Mmp8","Kcnc1","Rac2","Plat","Selplg"
"105","Acsl1","Mtap2","Tlr1","Slc25a34","Card11","Mecom","2210020m01rik","Sox6","Grb10","Csf2rb","Slpi","Arhgap30","Pmp22","Laptm5","Fat3","Ifi203","Ppp2r2c","Ifi27l2a"
"106","Pdgfra","Igdcc4","Plcg2","Fabp4","Clec4a1","Icam2","Paqr5","Urod","Anxa1","Stfa2l1","Gm10069","Ddx3y","Sirpa","Ifitm3","Dbc1","Pim1","Srcin1","Pacsin1"
"107","Col5a1","Ncam1","Sept1","Alpk3","Nckap1l","Rasgrp3","Slc22a17","Tinagl1","F2r","Cd300lb","Gsta2","Sykb","Nbea","Gm4902","Stxbp5l","Clnk","Tmeff1","Sla"
"108","Ccdc3","9330159f19rik","Il21r","Eno3","C5ar1","Ptprg","Slc1a3","Pip5k1b","Ecm1","Lsp1","Hsd17b2","Gda","Cmklr1","Il6ra","Fut9","Ptpn7","Rnd2","Tnfrsf25"
"109","Pnpla2","Cpe","Slc28a2","Clip4","Sykb","Nid1","Sparcl1","Aurkb","Sdc2","Il1r2","Tmprss6","Tifab","Lrp1","Ncf2","Chn1","Ikzf1","Hhip","Was"
"110","Odz4","Slc30a10","Gimap7","Plin4","Il2rg","Ctla2b","Nfib","Tpx2","Fhl1","Cd24a","Apof","Pilrb1","Rab3il1","Csf3r","E130003g02rik","Ifi205","Tgfa","Cmah"
"111","Acvr1c","Ppargc1a","Fcrl5","Col4a1","Igsf6","Dll4","Atp1a2","Top2a","Dkk3","Slc16a3","Ugt2b35","Tnfaip2","Ctss","Lyl1","Pcdh10","Acap1","Prkcz","Gimap5"
"112","Ptx3","Tspan7","Bcar3","Dmpk","Sema4a","Gm16897","Pih1d2","Cdc25b","Clip3","Gpr97","Apol9b","Emp1","Fam196b","Ncf1","Syp","Ptpn22","Prr18","Ikzf1"
"113","G0s2","Slc7a2","Parvg","Pgm5","Thy1","F11r","4932438h23rik","Mylk3","Wwtr1","Pstpip1","Slc27a5","Ccr2","Zfhx3","Galnt9","Spock1","Satb1","Eml1","Traf1"
"114","Cyp2e1","Dkk3","Gpr18","Cacna1c","Pglyrp1","Nostrin","Spef2","Abcb4","Phldb2","Selplg","Mup19","Fcgr2b","Ly86","Pyhin1","Ctnnd2","5830416p10rik","Elovl7","Fam101b"
"115","Lrg1","Bai1","H2-dmb2","Casq1","Sash3","Hspb1","Wdr35","Tmod1","Rbms3","Hmha1","Ugt2b5","Lrrc25","Gpr56","Tnfaip8l2","Ncam1","Ccl3","Mtap1a","Prkch"
"116","C1s","Npas3","Sbk1","Fitm1","Ikzf1","Rasip1","Spag16","Fam117a","Cav1","Cebpd","Hc","4632428n05rik","Leprel1","Zbp1","Chl1","Gem","Bcan","Tgtp2"
"117","Slc4a4","Cmtm5","Ets1","Cap2","Gpnmb","Cav2","Ankrd45","Slc14a1","Dpysl3","Slfn2","Cyr61","Cd44","Ptpro","Fyb","Lrrtm4","Fyn","Slain1","Ablim1"
"118","Fn1","Thbs4","Ly6a","Alpk2","Fn1","Mpzl1","Cpe","Ngp","Pappa","9830107b12rik","Egfr","Lrp1","Tyrobp","Itgam","Ank3","Arhgap9","Mtap1b","Tcf7"
"119","Osmr","Kcnn3","1300014i06rik","Hspb6","Pik3r5","Dlc1","Gja1","E2f8","Ehd2","Fcer1g","C9","Ckb","Myo1f","Ceacam2","Gnao1","Gm4956","1810041l15rik","Pkp3"
"120","Prkar2b","Adam23","Rltpr","Speg","Ctss","Serpinh1","6820408c15rik","Cit","Egfr","Clec4e","Serpine1","Emilin2","Pik3ap1","Gngt2","Dlgap1","Ets1","S100a16","Emb"
