"","B_cells","B_cells_pro","Basophils","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Fibroblasts","ILC","Macrophages","Mast_cells","Microglia","Monocytes","Neutrophils","NK_cells","NKT","Stem_cells","Stromal_cells","T_cells","Tgd"
"1184",NA,NA,NA,"CCDC88B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RALGAPA2","MAT2A",NA,"FAM46A","LIG1"
"1185",NA,NA,NA,"LGALS3BP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RNMT","RAN",NA,"FAM53B","TMEM62"
"1186",NA,NA,NA,"ALDH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UHRF1","UBASH3A",NA,"MYH9","ARHGEF1"
"1187",NA,NA,NA,"CALU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADH1","VCPKMT",NA,"NFAT5","NFATC3"
"1188",NA,NA,NA,"CYSLTR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRYL","RPS3A3",NA,"RBM17","PALM"
"1189",NA,NA,NA,"EXT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GM5921","SLCO3A1",NA,"IRF2BPL","RPN1"
"1190",NA,NA,NA,"IVNS1ABP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JADE2","PLSCR3",NA,"KBTBD11","UBLCP1"
"1191",NA,NA,NA,"ERAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC16A1","PRKCE",NA,"SLC35D2","ECM1"
"1192",NA,NA,NA,"PHLPP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TDRD7","PRKRA",NA,"MIS18A","SCMH1"
"1193",NA,NA,NA,"SMC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIS18A","VPS13A",NA,"PARP1","ALDH2"
"1194",NA,NA,NA,"SNORD55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NFKBID","FLNA",NA,"RBM12B2","RPN2"
"1195",NA,NA,NA,"DLGAP5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAGR1A","IL6ST",NA,"SGCB","SETX"
"1196",NA,NA,NA,"HNRNPM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRKDC","PRKCD",NA,"SNORD82","USP10"
"1197",NA,NA,NA,"IRF7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC12A7","GM7338",NA,"TNF","DHDDS"
"1198",NA,NA,NA,"M6PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TBC1D22B","RAD50",NA,"UBLCP1","DNAJC10"
"1199",NA,NA,NA,"NAB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4930453N24RIK","RBM38",NA,"HSPB11","GPR146"
"1200",NA,NA,NA,"TNFAIP8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D030056L22RIK","SKA2",NA,"MRRF","RACK1"
"1201",NA,NA,NA,"FBXL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPO5","0610007P14RIK",NA,"NFKBIA","ZNRF3"
"1202",NA,NA,NA,"GMIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAPKAPK3","AURKB",NA,"ARV1","MMS22L"
"1203",NA,NA,NA,"JADE2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PPA1","PSMC1",NA,"GM7285","SERPINB9"
"1204",NA,NA,NA,"SMC5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMC6","CDKAL1",NA,"HIST1H4D","TICRR"
"1205",NA,NA,NA,"A630089N07RIK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPO11","LGALS3BP",NA,"IKZF5","TWSG1"
"1206",NA,NA,NA,"GM8775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRIM14","CTBP2",NA,"DGKD","VAV3"
"1207",NA,NA,NA,"HMGN5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZSCAN26","IFRD1",NA,"GALNT12","AIM2"
