"","B_cells","B_cells_pro","Basophils","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Fibroblasts","ILC","Macrophages","Mast_cells","Microglia","Monocytes","Neutrophils","NK_cells","NKT","Stem_cells","Stromal_cells","T_cells","Tgd"
"116","IGKV12-41","SATB1","ADORA2B","H2-DMA","ME1","TYROBP","GCA","GREM1","GPR171","TLR4","SGCE","ARHGAP5","PLXNB2","LILRB4A","DAPK2","GIMAP9","HIST1H2BB","IL1R1","GIMAP9","STK39"
"117","LRRK2","PARP1","FCGR2B","TMEM176A","SUSD2","CCR1","BMPR1A","RNASE4","SLC25A53","IFI204","CHN2","GPR155","FCER1G","P2RY13","MCTP2","LY6G5B","STK26","PMP22","TNIK","ITGAL"
"118","SUSD1","CENPE","MMP12","TIFA","ITGA9","ACPP","CLU","CCL7","FGL2","FCGRT","IL1A","ABHD12","DPEP2","PYGL","CCL3","LY9","CENPK","AEBP1","TRIB2","CYTIP"
"119","TNFRSF13C","ACAP1","WFDC17","PLEKHO1","CYP4B1","ABCG3","MID2","C2","GIMAP5","CTSH","NAV1","NUAK1","THEMIS2","ACOD1","SLC9A7","ITGB2","TESPA1","GABRA3","CYTIP","ATP8B4"
"120","PGAP1","COX6A2","FCER1G","CD80","ECM2","SLC7A8","C3","LTBP4","PPP3CC","CD38","SLC35D1","C5AR1","FCGR2B","ALOX5AP","ARAP2","CTLA2A","DNA2","NR2F2","LTB","RRAS2"
"121","S1PR1","CECR2","TESPA1","CD244","MADCAM1","CEBPE","VCAM1","SERPINF1","NPAS2","SPI1","PCDH7","PLXNB2","CD180","SELL","CD3G","TRPM6","KNTC1","GULP1","LY75","GPR171"
"122","BTK","SUSD1","4930503B20RIK","MGL2","IFI44","NFAM1","IL13RA1","RCN3","GLIPR1","MT2","CARMIL1","CTTNBP2NL","CD300A","CEACAM10","B3GNT5","FGL2","ATP2B4","PARVA","ITGAL","CARMIL2"
"123","LAX1","ALOX5AP","FADS1","WDFY4","THBD","GPR65","TUBB2B","CFH","GADD45B","CD180","FCGR3","GNA15","CTSS","ADAM8","ITGA4","SEMA4A","NCAPD2","BMPR1A","MCTP2","ARAP2"
"124","CMAH","WDFY4","SPI1","ICOSL","APP","CCL9","KRT7","SCARA3","SYTL2","CMKLR1","NCEH1","PALD1","TYROBP","DMXL2","PRKCH","ETS1","ENG","ADAMTS5","AI504432","TPX2"
"125","IFI30","MEF2C","F2RL2","FOSB","PTPRM","PLXNC1","FAM83B","RGS5","ST6GALNAC3","TGFBI","SLC45A3","GATM","FCGR3","NFAM1","CST7","SLAMF6","MCM2","IFI211","GSTP3","EMB"
"126","CYP4F18","MN1","HS3ST1","IFITM3","VCAM1","CHST13","ADGRG7","OLFML3","TYROBP","FCER1G","TNF","ABCC3","CTSH","FGR","CXCR3","1810011H11RIK","RNASE6","SLIT3","I730030J21RIK","KIT"
"127","CTSH","CLNK","ITGAM","PID1","PRNP","RNU12","ADM","ARHGAP29","CHIC2","STOM","PILRB1","GM7335","MCEMP1","HCK","ITGAL","DUSP2","SNORD61","COL3A1","ARAP2","TNIK"
"128","MAP4K1","IRF8","TYROBP","RGS18","LRRC32","FN1","RNF128","ISLR","ATF3","TIMD4","MCTP1","LIPH","HAVCR2","C3","GBP4","ADGRG5","RHOBTB3","MMP2","PTPRCAP","RASAL3"
"129","TLR1","I730030J21RIK","TMEM156","TGFBI","PARVA","GM2666","CD80","CCL2","CCR2","TYROBP","MITF","MARCKS","MCUB","MSRB1","SPN","AQP9","SERPINB1A","PCOLCE","CTSW","SATB1"
"130","DPP4","HIST1H4H","PTGER3","STOM","PLS3","MBOAT1","IL7","CCL11","PPP1R16B","PID1","CLEC10A","ARHGAP22","NAPSA","TLR8","GPR171","KCNQ5","DKC1","CDH2","RHOH","ADGRG5"
"131","SNN","CD244","PRKCQ","A530099J19RIK","CAV2","CTSH","LGR4","COLEC12","CHN2","CD200R1","CD93","SPI1","CD36","AQP9","PPP3CC","LYST","ACAP1","HSPA1A","ITGB2","FAM78A"
"132","6330407A03RIK","BTK","RGS2","ANXA3","FMO1","CCDC125","MEP1A","FERMT2","PRKCQ","SIGLEC1","CST7","CEBPA","STOM","CD24A","ITGB2","GRAP2","GM15210","FN1","PLCG1","SEMA4A"
"133","GIMAP6","ANGPT1","SKAP1","FCER1G","C3","RGS2","GRP","PLPP3","GBP4","MS4A6C","FCER1G","ST3GAL6","NR4A1","KCNJ2","CRTAM","ITGA1","ALDH2","GSTM2","FYN","ITGB2"
"134","XKRX","ATP8B4","IRAK3","UNC93B1","FN1","NCF1","F11R","LRP1","RGS18","IDH1","PDE7B","TIFA","FGD4","PGLYRP1","SEMA4A","STK39","MILR1","ITGA8","PGLYRP2","SCD2"
"135","TLR7","NCAPG2","AB124611","CFP","ENG","TRIM30B","TMEM47","THBS1","ID2","CTSL","BBS10","CTSH","SMPDL3B","JAML","AIM1","PTPN22","HIST2H2BB","BC023105","IKBKE","ST6GAL1"
"136","IL5RA","LCK","LAT2","CSF2RB","CFH","GM7582","IL23R","BST1","IRAK2","PILRB1","FOSB","LACC1","KRT80","SLPI","MIRT1","CCR5","CDCA8","RGS16","SIT1","DZIP1"
"137","CECR2","NEIL3","ITGA1","RTN1","PXDN","I730030J21RIK","H2AFY2","MMP3","ST3GAL6","CD86","NDRG1","TANC2","ABCD2","LRRC25","SIDT1","PGLYRP2","SERPINA3G","LAMA4","IFI213","RACGAP1"
"138","SYK","MILR1","IGF1R","SERPINA3G","ECSCR","CREG1","CAPSL","CYGB","MCTP2","FGD4","I730030J21RIK","ABCD2","TIFA","MIRT1","RRAS2","ABLIM1","MEF2C","LAMC1","EMB","IL27RA"
"139","H2-EB2","TPX2","ACOD1","H2-OA","MSR1","PDE3B","EYA4","CPXM1","CXCL10","F10","P2RY14","ENTPD1","HFE","VNN3","ST3GAL6","NT5E","NT5DC2","ARHGAP29","GPR171","GPR65"
"140","CNR2","LMNB1","NKG7","SPINT1","ITGA1","TREML2","EHF","MATN2","PDE7B","PILRB2","CDH9","NAV3","I830077J02RIK","TMEM154","IL10RA","ACAP1","TREML2","AXL","BACH2","ITM2A"
"141","NAPSA","SNORD34","GABBR1","IL10RA","DCN","PLBD1","GAS6","OLFML1","DKKL1","AOAH","NDST2","LRP1","UGT1A6B","CEACAM1","CD226","LTB","EMB","CAR3","NUP210","S1PR1"
"142","TESPA1","MCM7","TREML2","NCF1","CTSL","MEIS1","SERPINB5","S1PR3","CST7","SERPINB6A","FCGR2B","PLXDC1","NAIP5","RASGRP4","GIMAP6","ST3GAL6","SNORD22","CCL11","CD69","ITGB7"
"143","MIRT1","TLR7","BTK","ATF3","TSPAN15","PIP5K1B","BCHE","IGSF10","CD72","P2RY6","GSTM1","SLC46A1","HACD4","RGS18","GSAP","NLRC3","TIFA","PROCR","CEP97","PDLIM1"
"144","CACNA1E","IFI209","MOCOS","LGMN","TIMP4","BTK","KLK1B26","PTGS2","NR4A1","NFAM1","ITK","TMEM86A","LRRC25","SPI1","PRR5L","PODNL1","SHCBP1","LRRC32","PDLIM1","NCAPG"
"145","IGHV1-67","KIF22","I830077J02RIK","F11R","FLRT2","MCTP1","PARVA","DPYSL3","FOSB","RGS1","CD63","SIRPA","DNA2","FCGR3","P2RY10","AI504432","KDELC1","PAMR1","SPN","RHOH"
"146","ABLIM1","EPHA2","MS4A6C","NFAM1","IFITM3","GSR","GRIA3","GSN","HIST1H4D","CEACAM1","NCKAP1","IL21R","SULF2","DGAT2","ANXA2","SERPINB6B","WDR76","TNC","A430078G23RIK","BUB1"
"147","SLAMF7","MIS18BP1","FAM174B","AIM1","FBN1","CEACAM1","IFITM3","APOE","HSD11B1","GBGT1","5730460C07RIK","CCRL2","CYTIP","F5","CMKLR1","ATP8B4","ANLN","IIGP1","TRAF1","CST7"
"148","ETS1","GIMAP6","KLRB1B","DOCK7","SERPINA3F","SIRPA","RASSF6","APP","HILPDA","RNASE4","GNAZ","CTSF","LGMN","NCF1","FYN","MGST2","DPP4","TNFAIP6","RRAS2","NCAPG2"
"149","HVCN1","CDCA2","PIP5K1B","SULF2","SERPINA3G","PLA2G4A","FGF14","NDN","TNFAIP3","CCL3","MYO1D","ALOX5AP","IL10RA","6430548M08RIK","ELOVL7","PTPRCAP","CD63","FAT1","ACP5","CCL5"
"150","A630033H20RIK","MYL4","GAB2","ABCG3","PHLDB2","LYZ2","EMP2","GPC4","SNORA69","MARCKS","MYADM","PHYHD1","TLR9","HK3","CYSLTR2","EPHX1","IL18RAP","CRIP2","EPHX1","NR4A1"
"151","FAM65B","SERPINB1A","STX3","CDK14","TNFSF10","ALOX12E","TMEM176B","HPSE","HEATR9","RASGEF1B","SYTL3","LYZ2","SIRPA","IFITM3","LPIN1","KLRB1F","MS4A6C","CCL2","DENND2D","STAT4"
"152","GM14548","IGHM","ACSS2","MX1","S1PR1","RAB11FIP1","NEO1","COL6A1","AHR","FCGR1","ITGA2","FGD2","XDH","RSAD2","TRGJ4","RASAL3","MIS18BP1","LAMB2","ITGB7","ENG"
"153","HAAO","GIMAP9","HIST1H1D","NEK6","SERPING1","FAM65B","SPRR2A3","PENK","SNORA7A","RGS18","EGR1","ST3GAL5","HSPA1A","PFKFB4","GIMAP9","GM10130","CCL9","MRGPRH","TRAV7-1","CCNA2"
"154","PIK3AP1","MIRT1","RNF43","RBM47","ICA1","GATA1","UBD","LIFR","GM4956","ECM1","STK32B","ADORA3","LILR4B","GM5150","ST5","F2R","CHAF1B","GPC4","STAT4","ITGB3"
"155","EPHX1","NCF1","GCNT1","NAV1","F2R","TESPA1","EAR2","PROS1","PTPN22","LY96","ASPH","FCGR2B","THBD","LPCAT2","SEPT1","MIRT1","STIL","ADAMTS1","HSD11B1","HECTD2"
"156","LY6A","RNU3A","PLAC8","SDC3","CSF2RB2","NAIP5","ST5","EHD2","IL27RA","TMEM106A","DUSP18","CCL6","ITGAL","APP","IFI208","GIMAP8","NPL","RNASE4","BIN2","PLCG1"
"157","LTB","CDCA5","GM5331","NAIP6","LEPR","IPCEF1","TMEM176A","PARVA","ZMAT4","A630033H20RIK","ENAH","ATF3","APOE","FGD4","PLEK","LPCAT4","F13A1","FNDC1","TRAV21-DV12","CHN2"
"158","SPI1","LAT2","GLIPR1","RASGRP3","ATF3","NAIP6","EPB41L3","AGMO","FCGR3","XDH","INPP4B","MEF2C","MARCKS","TLR4","ARSB","P2RX7","MMS22L","DPEP1","PTPN22","GALNT6"
"159","MARCKS","PRC1","P2RY1","HFE","RAPGEF5","AP1S2","KNDC1","IFI211","PTPRCAP","PLIN2","GCH1","HCK","LOC101055836","MCTP2","TRDV5","IL21R","GRB10","MCAM","STK26","HELLS"
"160","MTSS1","PLD4","RNASE4","LYZ1","GALNT18","TOX3","ZP2","PLS3","SEPT1","SLC7A8","GPR171","PLEKHO1","ITGAX","CLEC4N","AS3MT","ID2","NUP210","LPL","TRDJ1","KIF11"
"161","STRBP","BUB1B","IER3","MS4A4C","IL13RA1","GFI1B","PCBD1","CD302","PXDC1","DOCK1","WFDC17","IL10RA","LIFR","HCAR2","ETS1","ITGB3","CST7","TBX15","TRAF3IP3","FYN"
"162","SWAP70","AI504432","HIST1H2BE","SH2D1B1","ZFP521","FCER1G","DSC2","GRB10","LY96","LIFR","EMP1","CLEC4A3","CYP27A1","CAMP","LOC102638466","DUSP1","ARHGAP32","NEO1","DNAH8","NUP210"
"163","CEACAM1","I830077J02RIK","MS4A6B","CCR7","PROS1","TBC1D8","CYR61","IFITM1","PRKCH","IFITM2","BTK","PLAU","GNGT2","PRR5L","GIMAP8","LY6C1","UMPS","LOXL2","PDK1","SESN3"
"164","SERPINB1A","GIMAP4","FAM65B","SIRPA","SERPINB9","SQRDL","RAB25","CSF2RB2","SAMD3","CSF3R","OPTN","ECSCR","PLAUR","MARCKS","CHSY1","ARAP2","MYCN","IFITM3","TREML2","XRCC5"
"165","NCF1","CARMIL2","SUPT3","ADAM19","SNCAIP","ADAM19","SPINT1","PMP22","KLRA6","XLR","MLPH","FCER1G","PLTP","OAS3","GBP8","TNFSF10","GIMAP6","ATP1B2","ABTB2","TBC1D10C"
"166","THEMIS2","TYROBP","ST8SIA6","IRF5","IGFBP4","CD63","PTPN13","CASP12","F2R","SIRPA","ADGB","TYROBP","EMILIN2","IFIT1BL2","ACAP1","CHN2","HGF","CPED1","ST6GAL1","PTPN22"
"167","CNN3","MAML3","GIMAP5","CDKN1A","DOCK9","ITGA4","PRNP","F3","SLA2","ITSN1","NCAM1","LHFPL2","CD302","TYROBP","A430078G23RIK","LPXN","ATP8B4","PDGFD","RASGRP2","RUNX3"
"168","GRAMD3","SNORD15B","NCF1","EVI2A","IL6ST","CSF1R","BPIFA1","FKBP10","GIMAP9","CLEC5A","PLEK","PTAFR","SELL","ABCD2","MYO1F","STAT4","AI504432","FMOD","NLRC3","PDE3B"
"169","UNC93B1","SPI1","ATP8B4","SEMA6D","MARCKS","AP2M1","CDH17","KCNE4","ACAP1","BTK","SLC31A2","GBGT1","PTPRJ","CSF1R","XCL1","PPP3CC","PPAT","CACNA2D1","GRAP","BIN2"
"170","PXDC1","RPL7A","ID1","XLR","MYZAP","GCNT1","APP","CTSL","GPR65","MT1","E030011O05RIK","GAS6","IFI27L2A","TGFBI","LEF1","SESN3","CLEC12A","SERPINF1","TBC1D10C","UBASH3A"
"171","GM32819","MCM3","HK3","PLEK","CSF1","P2RY2","CD24A","SLIT3","DUSP1","THEMIS2","CCL17","DOCK4","IFITM2","TARM1","PRAG1","GPR65","MND1","PCDH18","ATP8B4","AFF3"
"172","ANGPTL1","NUP210","VOPP1","FCGR2B","ERG","S100A11-PS","ADGB","SERPINH1","RGS2","ITGB2","GZMB","TAGAP","CYP4F16","IFI211","ATP8B4","DPP4","RAD51","FHL1","GIMAP8","STK26"
"173","FCGR2B","MARCKS","CHN2","ZFP366","SELP","THBS1","PLPP3","CD34","STK39","CD93","PIRB","CMKLR1","APP","FCER1G","FAM65B","BTLA","MINOS1","ANGPT2","SLAIN1","CORO1A"
"174","ERO1LB","NCAPD2","IL15","CCND1","HOXD8","MKX","SERPINB1A","CRIP2","TNFSF10","IFI209","ELOVL7","CD81","6330407A03RIK","SLC16A3","CD27","E030011O05RIK","NUDT21","MIR145A","GPR183","SNORD61"
"175","AI504432","SNORD16A","NFAM1","GPR183","CTNND1","MYLK","WFDC17","MXRA8","GM2666","DAPK1","CCDC141","I830077J02RIK","SLFN5","AA467197","TESPA1","PLCG1","LMNB1","TGFB3","LOC101055836","ITGA4"
"176","LOC102639543","HIST1H2BJ","LYZ2","ALCAM","PECAM1","CASS4","PSTPIP2","C7","UQCC2","NRP1","GCNT1","ETV5","MET","SLC2A3","BIN2","BMP7","ZWILCH","IFIT3","XRCC5","MAP4K1"
"177","IGKV4-61","TCF4","ATP6V0A1","GADD45B","SEMA7A","IKZF2","FSCN1","SERPINE1","RPL29","TMEM176B","TDRD5","CCL9","ACER3","MTUS1","RAP1GAP2","RPL7A","RAB31","SERPINE1","CORO1A","CCND2"
"178","GPR171","SYK","IFITM3","BTK","BCAR3","CXCL13","RNASE4","LIX1L","MS4A6B","EPHX1","NR4A1","PDGFB","SCARB1","GAPT","ABLIM1","CD160","TTK","CPXM2","FYB","SYTL2"
"179","VPREB3","GAPT","SQRDL","3110043O21RIK","PLPP3","POT1B","ALCAM","PAM","BCL2","HFE","SLC7A5","RTN4RL1","POT1B","ANXA1","ATP2B4","IL27RA","PLCG2","1810011O10RIK","TRBV1","EHD3"
"180","IL21R","KIT","GALNT6","RASGEF1B","SNORD61","CSF2RB","FABP9","GEM","GBP8","RIN2","CSF2RB2","NCF1","CCDC88A","THEMIS2","NOD1","P2RY10","TFRC","CDH11","KIF21B","PPP1R16B"
"181","RAB30","IGHV1-82","GM7265","IL6ST","LAMB1","SCARNA13","FAT1","IFITM3","PGLYRP2","LRRC25","ADK","ITGA6","MMP8","ACTN1","MCAM","STK26","XRCC5","ADGRF5","IFI203","TBX21"
"182","CLEC2I","MEIS1","RNF39","ROGDI","EHD3","MSRB1","ATP1B1","ATF3","CXCR3","LIPA","VWA5A","ENG","FYB","MXD1","MS4A6B","IFI213","RPL7A","MFGE8","ARHGAP15","FAM65B"
"183","ACAP1","KIF23","MRGPRA9","PIK3AP1","TMEM176B","PTAFR","OSMR","MFAP5","SERPINA3F","FRMD4B","CDKN1A","UNC93B1","6430548M08RIK","GCA","SATB1","PDE7A","SMYD2","NDRG2","GALNT6","MINOS1"
"184","CTSS","KIF20B","CPNE2","IRF4","SERPINB6B","MYO1D","PRRG4","HSPA1A","AI504432","CD300C2","DAPP1","1810011H11RIK","CFH","TPD52","UGCG","MYO1F","KIF20A","CD36","MAP4K1","IFI203"
"185","LGMN","CD33","SUSD1","CSF2RB2","LAMC1","SUSD1","UTF1","TMEM176B","IPCEF1","DUSP3","SPI1","RUBCNL","IRF5","I830077J02RIK","NUP210","SH2D1A","KIF20B","CACNA1C","PPP3CC","SPN"
"186","PLAC8","ELANE","LGALS3","SNORD61","EFNA1","CD84","LIPH","AXL","IFI209","ITGB5","SLC30A4","TLR4","EMB","GSR","MS4A6C","GPR174","MLKL","SLCO2A1","IL2RG","HOOK1"
"187","CYTIP","KIF17","CREG1","CTSZ","FOSB","S100A11","LYZ2","IL13RA1","ITGAL","AB124611","OSBPL8","PDE3B","APOBEC1","SLC15A3","PGLYRP1","IZUMO1R","IQGAP2","TPM2","TDRP","SMC4"
"188","DOK3","EMB","GM11451","DUSP1","CCND1","LCP2","LAD1","TMEM176A","ETS1","NAIP6","VAT1","USP2","ITGB5","GK","PDGFB","BC147527","DOCK7","LEPR","IFI47","PLAC8"
"189","SNORD61","GM5643","DGAT1","GPR65","CMAH","DSTN","LIFR","PXDN","GRAP2","SELENOP","CHST1","GPR183","NAAA","OASL2","PIK3AP1","FOSB","HHEX","FZD4","ITGA4","MCM6"
"190","TIFA","DLGAP5","GM15452","FAM105A","NPR2","RND1","HIST1H2BC","ITGA1","NR4A3","DOCK7","LAT","VSIR","ITGB2","OLR1","CD28","BIN2","IFI203","TMEM176A","ZDHHC15","MGST2"
"191","PTPRCAP","NUF2","PIRB","6330407A03RIK","GIMAP6","CSF2RB2","GJA1","ADCYAP1R1","ARRDC4","DSE","GPR141","TMEM144","DGKG","MCTP1","LFNG","SLC27A6","CBX5","SERPINA1B","CCND2","SLAIN1"
"192","ST6GAL1","CD96","SYTL2","FOS","FKBP9","CHST15","STAP2","MGP","TOX","PLEK","4932438H23RIK","TRF","FAM49A","SORL1","I730030J21RIK","FYN","ARHGAP15","ATF3","KLHL6","FYB"
"193","GGA2","SNX9","ZFP831","CLIC4","BTNL9","CCR1L1","TMEM150C","FOSB","IKZF2","GATM","NPHS2","NFAM1","SLC46A3","GPR84","PDE2A","NPAS2","STOM","APP","ADGRE5","CD48"
"194","PPP3CC","SPC25","SNCAIP","LRRK2","FHDC1","DGKG","AR","NRP1","ARAP2","C3","FAM213A","PLA2G15","S100A6","SQRDL","PTPRCAP","FAM102A","ADSSL1","ERRFI1","SNORD33","DNAH8"
"195","PLEKHO1","KIF2C","CST7","SLFN5","TGFBR3","SH2D1B1","PIP5K1B","MEDAG","STAP1","PON3","PEG10","SLC7A7","ADSSL1","IFITM2","XDH","ZFP831","CD48","SRPX","HIVEP2","MCM3"
"196","TXNDC16","HIST1H2BN","LAT","MAP4K1","MID2","NXPE4","CES2D-PS","PLXDC2","H2-Q7","PTGS1","MIR505","TMEM176B","SORT1","CD177","TNIK","CCND2","ARHGAP11A","TINAGL1","SEMA4A","LCP2"
"197","GM38525","PLCG2","MIRT1","IGSF6","ST3GAL6","RASSF4","STOX1","MARCKS","ADAMTS14","DHRS3","FAM129B","JUN","ALPK1","SEMA4A","ID2","SNORD61","CDK1","RCN3","SNORD61","ARHGAP15"
"198","MCTP2","ANXA1","IFITM2","MYO5A","PALD1","SLA","MYO3B","TGFBI","DAD1","MCUB","GPR65","ADAMTS1","TMEM176B","GCNT2","PADI2","IFI203","MCM5","CCDC3","LY6C1","SNORD33"
"199","GAPT","GM14548","CEBPA","DNA2","NR2F2","TAGAP","RPTN","ADAMTS1","GM10130","ANXA3","CYTH3","ADRB2","ABI3","IPCEF1","CYP17A1","ARHGAP15","RFC4","IGFBP4","ASS1","AHR"
"200","CD37","IL1F9","LPCAT2","GPR171","TMEM176A","B4GALT6","TACSTD2","FADS2","WASHC3","P2RY13","CSF2RB","CSMD3","PRR5L","CSF2RB","LY9","ADGRE5","IFITM2","ANGPTL2","SELPLG","SELPLG"
"201","ARAP2","MMP9","NDRG1","TSPAN33","HSP25-PS1","THEMIS2","IFIT1","SULF1","ABCB1A","CAV2","LOXL2","ABI3","KMO","CSF1","TRAC","CD84","GATA2","C1RA","CD52","SLC14A1"
"202","IFI203","STK26","SMIM3","FGD2","SLCO2A1","TACSTD2","DSTN","GPC6","TRAF1","NAIP5","ZFP521","CXCL16","NAIP2","XDH","PTPN22","GIMAP1","CORO1A","IL13RA1","SLC16A1","GIMAP1"
"203","GBP4","SPNS3","CD300LB","NLRP1B","HSPG2","ATP1A3","KLK1","ACTA2","XDH","SLC16A7","MUC13","HPS4","ITGA4","CLEC4A2","ANXA1","CD69","MYC","CD34","SLFN2","CD69"
"204","ZFP831","ARHGAP15","PLEK","ITGB2","YES1","ADRB2","IL18R1","GPM6B","POLR2F","NCEH1","MFGE8","FRMD4B","IL6RA","CD80","ANGPT1","IFI47","RAD54L","CNN1","TOX","IL2RG"
"205","GIMAP9","IFI203","SERPINB1A","RRAS2","RGS16","IL12RB2","FNBP1L","CSF2RB","PLSCR1","HPSE","TAF9B","TLR3","BIN2","ITGB2","IFI203","SNORD22","SLC25A13","PXDN","GPR132","NSG2"
"206","LRMP","ANKRD28","STAT4","NUP210","GEM","ITGB3","MARCKS","PHLDA1","RAMP3","ZEB2","EXT1","SNORD61","SDC3","HNMT","ITM2A","FOS","SNORA34","TMEM176B","LFNG","PTPRC"
"207","ARHGAP15","CCR9","TRIM30B","RAB30","CD93","LGALS3","CCL20","LAMC1","IFI203","CD48","OLFR917","BEND6","MX1","MEFV","GPR65","CCR4","NFE2","LIFR","LCP2","HIST1H2AB"
"208","PLCG2","CLSPN","GRINA","ATRNL1","FZD6","SNAP23","ANXA10","SLCO2A1","NUP210","TIFAB","CD81","FOS","PLEKHO1","AB124611","GPX8","I730030J21RIK","CDCA2","FOSB","FAAH","PLXDC2"
"209","MZB1","HIST1H2AG","EMB","ARHGAP15","CLEC14A","ENTPD1","F2RL1","CXCL1","NDUFS7","RNF144B","PHXR4","SOGA1","TNFRSF1B","ENTPD1","BHLHE40","NUP210","P2RX1","ITIH5","SLA","C330027C09RIK"
"210","TRAF3IP3","HIST1H4C","PDE7B","NAIP5","FAM189A2","KLRB1F","ACTN3","NCKAP1","FAM124B","CD84","LRRC66","SGK1","RASGRP1","FAM65B","TM6SF1","PPP1R16B","BIN2","ENPEP","ITGA6","FADS2"
"211","SNX9","IQGAP2","SYNE1","CD48","TIFA","DAPK2","CNN3","NA.81","ABLIM1","TIFA","TYROBP","DTX4","MEFV","ADGRE1","POGK","SNORD33","MTHFD1","IFI207","PTPRC","TFRC"
"212","ITGA4","P2RY13","SCARNA13","ITGA4","4930578C19RIK","PBLD1","SFN","SGCE","NRGN","ATP6V0A1","CAR8","FAM105A","BC028528","RAB11FIP1","KCNAB2","KLRC2","TSPAN32","C2","CD7","ZDHHC15"
"213","GIMAP1","IFT57","SLC2A3","TSPAN3","MYO1B","DUSP1","LCN2","SNORD61","JUNB","MCTP1","IL4","SLC15A3","RASGRP4","TREML4","KLHL6","MMP9","DHFR","SVEP1","CCR9","CD53"
"214","CORO1A","CNN3","GM38525","IRF8","FOS","MYO1F","SLC7A11","SPARCL1","H2-Q6","CREG1","CADM1","LMO2","MYO1F","EMB","SPATA13","TTC39C","GLIPR1","LHFP","MINOS1","FKBP5"
"215","CARD11","ANLN","EGR1","GPR132","DUSP3","SERPINB1A","OLFM4","PLXNB2","4930503L19RIK","ALDH3B1","IL3","PLEK","LGALS3","RTP4","GRAP2","F2RL2","SNORD33","IFI203","GIMAP1","UHRF1"
"216","XRCC5","IL18R1","ADGRE1","RGS2","TGFBI","ARHGAP15","SLCO5A1","LAMB1","RAB11FIP1","FPR1","ALOX5AP","CABLES1","AB124611","GPAT3","ADGRE5","TRBV1","SLC43A3","NCKAP1","CD48","KCNAB2"
"217","IGKV4-58","EGFL7","GM10384","SLA","CLDN11","PLA2G3","SH2D4B","NPY1R","CSF2","LAIR1","SLC16A7","RASAL3","MILR1","MYO1F","PTPRC","TNIK","TSPAN3","MXRA8","ZFP831","RNF125"
"218","GRAP2","IL6ST","SLC26A8","SLC9A7","PAM","SIGLECE","SLC5A8","COL14A1","CYTIP","TIMP2","RNF180","SLC12A2","METRNL","CD63","LAT2","MINOS1","PARVG","NDN","STK39","MARCKS"
"219","ATP2A3","SNORD33","TRF","PIK3CB","FKBP10","GM10130","CTNND1","CD63","FOS","ENTPD1","IFITM2","CD9","PYGL","GLRX","LY6C1","RRAS2","H2AFY","MARCKS","CD53","CDCA7"
"220","GPR18","GFRA1","INPP4B","KLRK1","SMAGP","ITGB2","GEM","PPIC","SLA","CTSC","NKG7","DUSP1","ABCG3","ATP8B4","IRF8","SLA","GSTM5","LRP1","CD84","LOC101056014"
"221","SORL1","POLA1","FYB","ASB2","PHF11D","ANTXR2","ATF3","CXCL13","RPL27-PS1","HCK","RGS2","IFI30","GSR","ST3GAL6","CD48","XRCC5","CCND2","IGFBP3","LRIG1","SLA"
"222","IGHV8-5","PRIM1","ITGAL","PRCP","NR4A1","RGS1","SERPINB9","PRNP","GM7582","CLEC4N","FER","SELPLG","GM20203","CFP","SYK","SULF2","DAPP1","KCNJ8","PDE3B","KLHL6"
"223","GRAP","IGLL1","GNA14","PRR5L","CD34","CCPG1","CDCP1","GSTM1","JUN","CPQ","SLA","EPB41L2","BTK","PLEK","CDK14","BHLHE40","PRKCQ","SLC38A11","B4GALNT1","IGF2R"
"224","IGKV6-20","ITGA4","SH2D1B1","AI504432","ARRDC4","ITGAL","BLNK","CPQ","AP2M1","PLXNC1","FUNDC2","PAK1","GPR65","ANXA2","CYTIP","GPNMB","MSH2","GSTM1","TRAV7D-4","MYO1F"
"225","CD53","CENPF","MFSD6","IFI203","CD38","LY96","SERPINB6B","MAGED1","GM29376","TMEM176A","PPP1R15A","CD84","PRKCH","IFIT1","THY1","JUN","SPN","LY6A","DUSP10","CD163L1"
"226","SNX30","GM1966","ARHGAP15","LSP1","SPNS2","C130050O18RIK","ASPRV1","FBLN5","MS4A6C","S100A1","MFSD6","TIMP2","CORO1A","ACPP","ZEB2","CARMIL2","CTNND1","ITGB5","BZW2","GIMAP5"
"227","SEPT1","UGT1A7C","PGLYRP1","MINOS1","S100A16","GPR132","FMNL2","TNC","CORO2A","SCPEP1","MILR1","HACD4","STAP1","PIP5K1B","RACGAP1","IL4","XRCC6","PLPP1","SESN3","PRR5L"
"228","PTPRC","TMEM176B","LY96","MYO1F","CTNNAL1","MGLL","TFAP2B","LHFP","TAGAP","CLEC10A","RNF144B","PON3","CSF2RB","ITGAL","GIMAP5","SYTL3","CXCR4","FKBP9","LY9","IFI47"
"229","IGKV3-4","CD180","TAGAP","BHLHE40","SLFN5","FYB","AHCYL2","GABRA3","CD48","KCTD12B","DUSP1","RGS10","A630033H20RIK","PTGS2","PIK3CB","CYTIP","N-R5S136","TSPAN7","CLEC2I","HIST1H1B"
"230","D17H6S56E-5","LMO2","GPR34","ETV3","LHFP","ZEB2","IRF6","GFPT2","ERN1","APOBEC1","ZEB2","TNF","PLEK","TMEM71","AI504432","PTPRC","PCLAF","PODN","TSR1","SLFN5"
