"","Adipocytes","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Eosinophils","Epithelial_cells","Erythroblasts","Erythrocytes","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","Melanocytes","MEP","Mesangial_cells","Monocytes","MSC","Myelocytes","Myocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Pericytes","Platelets","Skeletal_muscle_cells","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"53","HIST1H4B","ARX","CD27","ALOX5AP","CSF2RB","HTRA1","CDCA7","LILRB1","SPP1","TNFSF4","PHOSPHO1","PKP1","NFIA","CDK1","NID2","C1ORF210","CORO1A","SERPIND1","AREG","GULP1","AADACL2","SLC15A3","LAMA1","SLC40A1","COL6A1","TNFSF13B","FBN2","PRAM1","RPL27A","GJA1","LUM","LCP2","GZMM","ERRFI1","PTMA","GIMAP4","S100A1","TAGLN","GIMAP1","TFPI2"
"54","TPM4","LRRN1","CD52","CEACAM6","LMO2","HOXC6","HLA-DPA1","IL1RN","SOX2","ESAM","TPM3","S100A8","NCEH1","SYNGR1","CLDN11","AURKC","C16ORF54","CFB","ATP8B4","IDO1","AKR1B10","ITGAX","TM4SF1","CD36","DCN","TNFRSF1B","UCHL1","CYBB","TGFBI","SFRP1","SNX7","MEFV","GPR18","HTRA1","DCN","HGD","CORO6","CLMP","GNLY","CAV1"
"55","GSN","PSRC1","RCSD1","PGLYRP1","PTPN7","MATN3","CSTA","HLA-DPA1","LEFTY2","PLSCR4","HCK","UPK1B","PRG2","CA2","PTX3","SLC7A9","CD69","BHMT","MALAT1","GINS1","FGFBP1","HLA-DRA","HIST1H3B","TYMS","LYPD1","AQP9","TGFBI","OLR1","CDH11","FZD3","PBK","P2RY13","GPR65","LTBP2","THBS1","GUCY1A3","UCP3","GPX8","PRKCH","CRYAB"
"56","PLIN4","EPB41L3","BIRC3","VSTM1","CD53","PPP1R3C","ITM2A","ITGB2","SCG3","RNASE1","AZU1","TM4SF1","TFR2","SNRPE","HIST1H4B","TMEM163","CFD","AKR1D1","HLA-DRB1","FOXH1","SFN","EVI2B","IFI6","CDCA7","HIST1H4L","BCL2A1","NTN4","CORO1A","ABI3BP","SST","SBK1","TLR1","GIMAP7","PRSS23","NT5E","EVI2B","IP6K3","CA12","ARHGAP15","C1S"
"57","ABCA6","RHPN2","RGS13","RHCE","HIST1H1B","CDC42EP5","LST1","HSD11B1","VAT1L","RAI14","FGR","CLCA2","APOC1","HIST1H1D","TNC","DDX4","EAF2","CYP2C9","RGL4","CXADR","ZNF750","HLA-DPA1","RPL10","MLC1","RBP1","CYTIP","OLFML3","CFP","HIST1H4B","GPM6A","FERMT2","ALOX5","ARHGAP9","ACTA2","MMP1","APOBEC3A","MYO18B","CAV1","P2RY10","FBLN5"
"58","LYVE1","LHX2","SELL","XK","MCM2","SERPINA3","CEBPA","HLA-DRA","ACTA1","S100A16","C11ORF21","SLITRK6","ADD2","RSL1D1","ITGBL1","GPR37","HLA-DQA1","HAO1","LAIR1","DLGAP5","KRT23","IL10RA","FARP2","CPXM1","LOXL2","MYO1F","DSP","HCK","TNFRSF11B","CTGF","PTPRZ1","LST1","KIR2DL4","LOXL1","TPM2","PRKAR2B","NDRG2","RPPH1","CD96","CYP1B1"
"59","PTGER3","CPLX1","EBF1","TYROBP","LAPTM5","EFEMP1","CTSW","SUCNR1","FAM46B","GPX8","CD52","MPZL2","MPP1","RPP30","LOXL1","OXT","CDCA7","DPYS","TPM4","TAGLN","LYPD3","CD48","IFIT1","TESC","TNC","HLA-DMB","CRYAB","NCF4","HIST1H4H","AFP","VANGL2","CLC","C16ORF54","NNMT","HIST1H2AE","S100A8","TRIM54","PRSS23","CD53","COL12A1"
"60","AOX1","PCDH8","FCRL1","PLAC8","TESC","GJA1","EAF2","CD52","TCF7L1","HECW2","DOK2","KRT13","TRIM58","CENPN","FBLN1","CDH3","HLA-DRB1","GSTA1","CYTL1","IGF2BP3","TACSTD2","CSTA","PAX3","GATA1","HIST1H2BI","PLBD1","COL4A2","PIWIL4","TPM3","COL4A6","GEM","ARHGAP26","IFNG","PAPPA","MMP2","MS4A1","RPPH1","IGFBP4","PTPRC","TMEM119"
"61","SPTBN1","C1QL1","CD22","EVI2B","IGLL1","ITGBL1","CSF2RB","CD1A","CGNL1","EMP1","PARVG","C15ORF48","GAD1","PPOX","CTGF","OSR2","CXCR4","BAAT","CD53","PLS3","KLK11","HLA-DRB1","IRF4","HLA-DRA","CD24","MS4A6A","FRMD6","CST7","TGFB2","MEIS2","SMARCA1","IGSF6","CD52","TMEM47","CCND1","TMEM140","PLN","IL13RA2","CD37","PPIC"
"62","MAP1B","ADAMTS3","LAPTM5","CSTA","PNMT","TMEM45A","GMFG","MNDA","ID1","PLS3","SEMA4D","CLDN7","GSTM3","GTF2A2","COL4A1","ZC2HC1B","HLA-DMA","SLC10A1","PTPRC","FSTL1","KLK7","C1QB","CDH3","GINS1","DCDC2","CD52","CCDC80","FCER1G","HIST1H4L","SALL2","CNN3","FGR","SH2D2A","EFHD1","HIST1H3I","ABLIM3","MYOT","FSTL1","ALOX5AP","GPX8"
"63","VSIG4","CTNND2","RGS1","SELL","MPP1","SPOCK1","CXCR4","PTPRO","IGF2BP3","KCTD12","C10ORF128","EFEMP1","ABCG2","NUP62CL","HIST1H4H","GRB7","LST1","LEAP2","CDC42","UCHL1","DAPL1","IL1RN","PRUNE2","LAPTM5","MCAM","CD300LF","MAP1B","SLPI","PRSS23","CD24","MYEF2","MYO1F","TGFBR3","PPIC","SERPINB2","SYTL4","PGAM2","VCAN","CXCR4","MFAP2"
"64","COL6A3","NCAN","EAF2","CD79B","AKR1C3","MFAP2","HLA-DRB1","MS4A4A","GINS1","DKK3","ACAP1","ESRP1","TMOD1","CPVL","ID1","ZSWIM3","SERPINB10","ACMSD","EVI2B","PLP1","AZGP1","PLEK","PTMA","TNFSF13B","IGFBP5","CD86","FZD7","NCF2","COL6A3","KIF5C","NDRG4","TYROBP","ARAP2","COL4A1","HIST1H2AL","PTGS1","APOD","MGP","ISG20","PDGFRA"
"65","COL12A1","SNTG1","TLR10","GYPB","DTL","FAP","RCSD1","FGR","IRX2","PRSS23","COL9A2","SERPINB2","DNAJA4","SRP19","CAV1","FGF14","HLA-DMB","ANXA10","NREP","CRABP2","EPPK1","CD68","NRP2","AKR1C3","COL18A1","CASP1","STC2","CHI3L1","TM4SF1","MAMDC2","TOP2A","KCNJ15","BIN2","CDH11","COL4A1","POU2AF1","SCARNA2","NID2","RUNX3","ERRFI1"
"66","G0S2","ZNF423","BACH2","IL18RAP","ICAM4","PPIC","CD37","TNFSF13B","OLFML3","DOCK4","SYTL1","ID1","RHD","HMBS","EEF1A1","SLC27A6","NFE2","HPX","LAPTM5","CDH3","ABCA12","HLA-DMB","FASN","ARHGAP15","HIST1H2BM","ALOX5","MYOF","CLEC4D","CALD1","FLRT3","GULP1","LTF","CD160","GLIS2","KRT19","MYLK","ATP1A2","TPM2","LAPTM5","TIMP3"
"67","MRC1","DDR1","RASGRP3","MYB","CENPW","THY1","CLDN10","IL1R2","CDCA7","C4ORF32","CSF2RA","RPL13","PBK","RNASE1","RGS4","C1ORF226","TYROBP","CYP2C18","EAF2","ASS1","TCN1","S100A8","CSPG4","CMPK2","EEF1A1","CECR1","PENK","ANXA3","PDE4DIP","CPE","ATP1B1","FCER1G","P2RY8","NEXN","EEF1A1","SELL","SOD2","CTHRC1","GATA3","MME"
"68","S100B","GJA1","LAT2","RGS18","CNRIP1","CRYAB","PLEK","RNASE1","MT1G","FAM213A","ARHGAP9","PLK2","BUB1B","SPC25","NT5E","HIST1H1A","RCSD1","PLG","LCP1","CENPH","IL36G","MAFB","RPL13","CTSW","SHISA2","CPVL","LAYN","HBB","PLOD2","CENPV","ENAH","LILRA5","LCK","CAV1","FASN","ITGAM","HRC","SERPINE2","DENND2D","CYR61"
"69","COL1A2","AMPH","CXCR4","MPO","GNA15","THBS2","NLRC3","CCL8","PLS3","SPOCK1","KSR1","TMEM54","CPOX","SLC25A21","CFH","NR2E1","SLC22A16","MT1M","NCF4","RBPMS2","CLIC3","CTSS","PDE4D","FAM83D","TGFB2","PLA2G7","RND3","C1ORF162","CDH13","PTN","PXDN","ARHGAP9","SELL","INHBA","IL33","LYZ","RRAD","LAMA4","GPR183","FN1"
"70","C1QC","MEIS2","SASH3","KLF1","NPL","FBN1","GGTA1P","IFI30","TAGLN","LAMB1","PADI4","SCEL","DTL","CDKN3","PRRX1","DCDC2","GMFG","MTTP","LCP2","ARMCX2","AADAC","LY96","NQO1","SLC27A2","DPYSL3","GPR65","FSTL1","CAPN3","IL6ST","CDH2","CLGN","CTSS","FCER1G","FRMD6","NNMT","LGALSL","ASB5","FBLN2","PRKCQ","MGP"
"71","HIST1H4H","FZD3","BCL11A","NCF2","POLE2","TAGLN","LAT2","CD74","GPM6B","F2R","CD101","S100A16","SELENBP1","CISD2","NRP1","GTSF1","KBTBD11","UBD","XIST","CDCA7","RHCG","CD53","OAS2","LYL1","PAX8","NOD2","IGFBP4","CD24","IGFBP2","GPM6B","RRM2","FAM65B","SASH3","FBN1","COL5A2","EHD3","STAC3","HTRA1","TXK","MIR100HG"
"72","HIST1H1E","CA14","CD74","MGAM","CXORF57","TGFBI","SAMD13","CYTIP","DLGAP5","FSTL1","NCF4","DSG2","ERMAP","CDC42","COL4A2","FAM179A","C1ORF162","AGT","H3F3B","RND3","RAB25","CCR5","OCA2","CENPH","CTHRC1","CD53","INHBA","SELL","LOX","FRZB","FAT1","GCA","ARL4C","SPOCK1","IL6","CYTIP","HSPB7","PLS3","TC2N","FAP"
"73","PLA2G2A","SEPT3","EVI2A","MPEG1","CDC20","COL15A1","LYL1","CLEC7A","BEX1","HHEX","PLD4","HIST1H4H","TESC","HIST1H1E","PRKCDBP","IL17B","CTSW","ADH1C","HIST1H1D","FAM64A","IL36RN","MNDA","C10ORF90","ANK1","CLDN1","LAPTM5","FBN1","ATP8B4","TFPI","NAP1L3","FAM64A","TAGAP","S1PR1","WASF3","PDGFRA","PLEKHA8P1","SLC2A4","SRPX","GPR65","FSTL1"
"74","SEPP1","BCHE","SLAMF6","CYBB","BUB1B","CSRP2","MZB1","GPR183","GULP1","MYOF","TYROBP","KRT15","FAM117A","CR1L","PLAC9","LRRC17","S100A9","SERPINA1","FCER1G","TERF1","PNLIPRP3","LAPTM5","H2AFJ","DHRS11","FBLIM1","CFP","LOXL2","MGAM","ACTA2","MLLT11","SCG3","ADAM8","EVI2B","MYLK","MME","CD160","ACACB","DPYSL3","IL2RG","CHI3L1"
"75","EMP1","CSRP2","LCP1","GAPT","CDH1","MYL9","SVOPL","HLA-DMB","FREM2","PLK2","SIRPB2","SNAI2","PAQR9","CCT5","CLMP","OTUD3","CD53","BCHE","CYCS","HEPH","RPTN","CD300LF","TPM3","FOSB","ZFP36L1","HLA-DMA","NT5E","TESC","PLK2","FZD5","KIF20A","SAMSN1","IRF8","IRX3","LOXL2","IL7R","RPL10","FRMD6","LCP2","FBN1"
"76","RPL27A","LRP4","RASGRP1","GPR18","KIF4A","PCOLCE2","FOSB","CD83","NELL2","ANGPT2","SELL","KRT16","PRKAR2B","APOC1","DKK3","FAM46C","GNA15","CYP3A5","MEIS1","BUB1B","S100A8","VSIG4","HIST1H2AE","EPB42","FAT1","LCP1","DKK3","EVI2B","COL4A2","TAGLN","DTL","ALOX5AP","IL12RB2","MIR100HG","NRP1","GP1BA","FLNC","TNFRSF11B","FAM65B","LAMB1"
"77","IGFBP3","RPE65","MEF2C","LST1","PBK","TMEM47","HLA-DMA","HLA-DMA","BUB1B","CDC42EP5","CSF2RB","NTN4","MKI67","MAGOHB","GAS1","NLRP5","SPNS3","AADAC","MCTP1","PFN2","TPRG1","TFEC","PLXNC1","KIAA1211","NRP1","LY96","TMEM200A","HK3","CAV2","MAB21L1","HAND1","PIK3R5","CORO1A","RND3","TPM3","HIST2H2BE","SGCA","P4HA2","SIRPG","GXYLT2"
"78","C1S","CD24","MAP4K1","KIAA0226L","CCNB2","MMP2","EVI2B","SAMSN1","NLGN4X","FAM171A1","ITGAX","CAV1","TOP2A","HIGD1A","CTHRC1","HENMT1","CD52","CYP8B1","ERG","CGNL1","RNASE7","HLA-DMA","MYO1D","ATP7B","RGS4","IRF8","FERMT2","TMEM71","C9ORF3","MAP1B","CDCA7","CFP","APOBEC3G","SERPINE2","TGFBI","TRAF3IP3","SMPX","C1S","ARHGDIB","RND3"
"79","COL4A2","RGMA","LCK","FCER1G","IL2RG","IGFBP4","ARHGAP15","CSF1R","AASS","ARHGDIB","APOBR","EEF1A1","BSPRY","FCER1A","EMP1","SLC35G1","CPXM1","PIPOX","NUCB2","FGF13","MIR205HG","MYO1F","TRIM2","OIP5","MMP7","RGS18","MFAP2","C16ORF54","RPS23","TMEM47","CACNA2D2","CHI3L1","SORL1","WNT5A","GJA1","C16ORF54","TMOD4","PRKCDBP","TCF7","PRRX1"
"80","AOC3","SLC47A2","MARCH1","SERPINB10","UCP2","C1S","FOS","LILRB4","UCHL1","WWTR1","ARHGAP30","GJA1","HES6","CCNB1","PTRF","LHX8","EVI2B","RNF128","NKG7","GPM6B","ELOVL7","CTSH","DUSP4","LYZ","PHC2","GIMAP2","CALD1","PRG2","IGFBP5","NMU","HOMER1","FYB","ABCB1","PPP1R14A","TMEM200A","SLC40A1","TPM3","SPARC","SORL1","TPBG"
"81","A2M","ID4","HCLS1","P2RY13","EPDR1","P4HA2","LAPTM5","FABP4","HEPH","PGF","LSP1","SPINT1","NPL","ST6GALNAC1","TNFRSF11B","AURKA","ITM2A","APOC1","ARHGAP15","GPX8","HOPX","CD83","RPS23","PVT1","LAMC2","PLAC8","BDKRB1","FGF13","NTN4","TSPAN6","FMNL2","PLEK","CD53","SERPINE1","FIBIN","FCGR3B","SPARCL1","LTBP2","GPR18","EMP1"
"82","LAMB1","DKK3","GPR160","PROK2","SLC43A3","GPX8","CD53","CD53","TERF1","CCL2","RAB37","ANXA3","ABCB10","MINOS1","SERPINH1","CCNO","MZB1","AGXT","MFNG","THY1","KLK5","MREG","EEF1A1","PPP1R14A","RPS23","C16ORF54","TMEM47","ARHGAP9","DKK3","PNMAL1","TYMS","PLXNC1","GCH1","DKK3","PTGS2","FYB","FXYD1","FAM114A1","GVINP1","SNX7"
"83","EEF1A1","PODXL","CD83","NFE2","TYMS","ENPP2","LMO2","CSTA","SFRP1","ID1","MKL1","JUP","TPX2","APOBEC3B","TFPI2","TRIM6","VPREB1","F2","CD33","FERMT2","SLC6A14","SNX10","ISG15","FAM89A","ITGB3","CSF2RB","PHLDA2","PLBD1","FSTL1","DTX4","BUB1B","FGL2","MYBL1","FSTL1","DKK3","PLAC8","DUSP13","SLC14A1","ITM2A","AKR1C2"
"84","RPS23","ABAT","CD1C","RAG1","SLC25A21","COL6A2","ICAM3","C5AR1","ARMCX2","SHANK3","DOCK8","DKK3","GINS1","LSM5","IL6ST","RASL11A","FOS","SULT2A1","RPL31","TSPAN6","S100A9","LCP1","CXCL1","CTSG","IGFBP4","MS4A14","RAI14","MMP9","HAS2","ZIC3","MYH10","SPI1","LCP2","CSTA","HIST1H1B","CD48","RPL13","LAMB1","GMFG","VCAN"
"85","CAV1","MAP1B","CTSH","CHI3L1","ZWINT","ASS1","C1ORF162","CLIC2","FSTL1","STEAP1","RGS14","AKR1C2","FAM83D","APOBEC3C","EMILIN1","SASS6","FCER1G","ACOT12","VAMP8","VCAN","ESRP1","SUCNR1","CCND1","RBPMS2","IGFBP2","CARD16","THBS1","BEX1","NRP1","TAGLN3","ASAP2","OSM","PTPRC","TMEM200A","MYO10","MLH3","LDB3","NTN4","RCSD1","STEAP1"
"86","ID1","RALYL","ALOX5AP","CD48","TPX2","FBLN5","RAB37","CCL4","PFN2","GIMAP7","DEFA4","CCND1","LMO2","RNASEH2B","PLAT","MRC1","BTK","KNG1","PECAM1","SNX7","MAL2","S100A9","SHC4","PRTN3","AXL","LPAR6","SGCE","GAPT","GPX8","COL11A1","CCNB2","GBP2","LAIR2","LAYN","MEG3","CD8A","PDE4DIP","IGFBP5","ZAP70","GLT8D2"
"87","SRPX","COL11A1","BANK1","TMEM71","TOP2A","AEBP1","SLC40A1","CSF2RB","FAM64A","MANSC1","RAB11FIP4","EPCAM","CCNB2","CD69","LOXL2","TECTA","MPEG1","ABCG5","TBXAS1","TOX3","CST6","CECR1","HIST1H2BE","HHEX","HIST1H2BB","CD36","MMP2","TNFSF13B","PTMA","LOXL1","DKK3","PADI4","TNFRSF18","SCRG1","F3","BIN2","RPL3L","IGFBP3","CD3E","CALD1"
"88","CRYAB","MLLT11","TBC1D10C","AQP9","HEMGN","SULF1","TNFSF4","CECR1","LECT1","ALDH1A1","C16ORF54","PTPRF","MCM10","MAD2L1","VGLL3","OLIG1","LCP1","BHMT2","MYB","HOMER1","IGFL2","CYP27A1","RCAN1","GINS2","MAP1B","VCAN","FAP","MYO1F","SPTBN1","MID1","PRKCZ","DENND3","TNFAIP3","ALPK2","UACA","TMEM71","GPD1","RAI14","LCP1","TMEM47"
"89","IL6ST","TSPAN11","CYBB","CD52","CDCA7","RECK","ATP8B4","EVI2B","ACTC1","MMP2","IL18R1","SPRR1A","RGS16","LYZ","CCND1","C10ORF82","TYMS","SERPINA4","CLEC2B","BEX1","SCEL","CPM","RPL27A","MEST","TUBB2B","PECAM1","SYNC","IL18RAP","VGLL3","HEPH","CCND1","EVI2B","LAPTM5","EMP1","COL4A2","NEXN","MYOM1","ITGBL1","TMEM71","PLOD2"
"90","TIMP3","MEGF10","NCF4","CD24","NFIA","FSTL1","TYMS","EVI2A","TSPAN6","COL5A2","LIMD2","PRSS8","HJURP","ARHGDIB","STC2","SPATA22","LAPTM5","AQP9","FXYD5","OTX2","PRR9","EMP1","INPP4B","KIAA0101","VCAN","FYB","LRRC17","HBD","ALDH1A1","CRISPLD1","MAP2","CLEC12A","MYO1F","ADAMTS5","FBN2","RBPMS2","SMTNL2","PXDN","SASH3","VEGFC"
"91","CLMP","ST8SIA5","KIAA0125","HLA-DRA","STAT5A","SOX9","BCL11A","CXCL16","DPYSL3","MYCT1","RASGRP2","GPR87","CENPE","RBBP4","PLK2","PDGFRL","ATP8B4","C4BPA","RASGRP2","GAL","BPIFC","FPR3","NLGN1","PRG2","MXRA8","ALOX5AP","EFEMP1","HCST","LAMB1","LUM","ANK2","PILRA","GIMAP2","FOXC1","SERPINH1","CD2","RBM24","PLOD2","NLRC5","PMP22"
"92","FZD4","CLU","SYK","CX3CR1","KIAA0101","PMP22","BEX1","CSF2RA","PRDM14","PHLDA2","PDE4D","LAD1","CDC20","KIF20B","CALD1","SLC7A7","LY75","TMEM176B","BEX2","GABRB3","CSTA","NCEH1","FCRLA","DPPA4","LAMB1","MARCH1","FN1","EAF2","FAT1","RTN1","FAM171A1","CEACAM1","OASL","IGFBP6","CHI3L1","TMSB15A","DCN","MAP1B","CORO1A","ARMCX2"
"93","RPS27A","HTRA1","CD69","CLEC12A","GINS2","TGFB1I1","CORO1A","TFEC","ZSCAN10","PIR","ITGAL","TGFBI","AKR1C3","UBE2T","PTMA","CATSPERD","VAMP8","CPS1","CXCR4","PSAT1","DSP","CSF1R","ZNF749","SELENBP1","SPTBN1","CD300A","PPP1R3C","LAPTM5","LAMB2","SPP1","NUF2","MXD1","RHOH","NTM","SPON2","CD53","LMOD2","CDH6","IFITM1","IRX3"
"94","THBS1","TAGLN3","BTK","GIMAP4","FKBP5","RSPO3","S100A8","MAOA","VCAN","MLLT11","LCP2","IGFBP3","UCP2","PPIA","GPX8","GRTP1","HLA-DQB1","TAT","BIN2","NXN","SLURP1","CD74","COL11A1","GMFG","BICC1","RTN1","BDNF","LY75","DCBLD2","ZNF521","UBE2C","ITGB2","PTPN22","FAT1","PTX3","CA2","CRYAB","SFRP1","HCST","TMEM158"
"95","TAGLN","NFIB","LY75","TNFSF13B","HCLS1","ATP1B1","BTK","CCL23","DSG2","CRIM1","RCSD1","CXCL1","SLC40A1","FECH","LAMB1","ZIM2","LAIR1","C3","STAP1","DSG2","A2ML1","CYP1B1","MCAM","DLGAP5","HIST1H2AK","HCLS1","SERPINH1","GMFG","SRPX2","NR2E1","RNF182","SIRPB1","IFITM1","PTPRK","TNC","EVI2A","SYNPO","CALD1","RNF125","EFEMP1"
"96","AKR1C2","JAM2","SEL1L3","ANXA3","SLC10A4","FN1","DPPA4","MAFB","HOMER1","AKAP12","RPL10","GJB5","EIF1AY","SELENBP1","RPL27A","GCH1","BCL11A","UGT2A3","EVI2A","OIP5","S100A12","NPL","TUBB2B","ARHGDIB","TGM2","DPEP2","MEST","CEACAM1","PPP1R3C","FXYD6","FAM213A","IL1RN","FGR","KCNE4","HIST1H4E","GZMB","FABP4","GEM","LY9","CAV2"
"97","HIST1H3B","TNC","CD37","CLEC4A","TRIM58","ISLR","CD300LF","MS4A6A","DLK1","RND3","P2RY2","EPS8L2","EPDR1","RPL31","LAMB2","ANKRD37","HCLS1","OTC","PTPN6","CDC20","TRIM29","EVI2A","HIST1H2AM","CLGN","PRMT1","CD93","PBK","PSTPIP1","UACA","LMO3","CDC20","RGS18","GIMAP6","TGFBI","PLAU","HRASLS","PPP1R1A","ANTXR1","ARHGAP9","CDH13"
"98","ASS1","TOX3","ARHGDIB","GPR160","CYP1B1","THBS1","LCP1","MREG","RAI14","SRPX2","FGD3","LYPD3","MOB1B","PRDX2","PDGFRB","CSRP2","PLEK","TMEM27","SEPT6","CLDN6","KRT80","CEBPA","CDH1","PTPN7","SPARC","CD74","TPBG","FOSB","MMP2","BEX2","SDC2","TNFAIP2","CD7","ENPP2","PRRX1","FGFBP2","AKR1C2","ALDH1A3","SIDT1","PLS3"
"99","IGFBP6","PLD5","ELL3","FGL2","CMPK2","PTX3","LY75","LCP1","MFAP2","CRIP2","IL1RL1","TNFSF10","KIT","BLVRB","MOXD1","PLS1","PRSS21","SLC2A2","CTSS","CCNB2","WFDC12","KMO","VEPH1","TRIM58","COL5A2","AOAH","PDGFRA","RGS18","HTRA1","INSM1","KIAA1958","ANXA3","C1ORF162","CXCL12","GDF15","TC2N","MT1X","PLK2","ARL4C","EPS8"
"100","TIMP4","RND3","LY9","RHAG","CENPE","RBP4","GIMAP2","LAPTM5","RND3","VWF","CR1","FAT1","ICAM4","SLC40A1","MMP1","RHPN2","CD37","ACSM5","BTK","CA11","CWH43","IRF8","ABCC2","HCLS1","CDH11","CLEC12A","PLS3","CD48","PTRF","PFN2","FNBP1L","CYTH4","SAMSN1","ABCA8","NREP","IGF2BP3","UNC45B","IL6ST","UBASH3A","MFAP5"
"101","RARRES2","POU3F2","KMO","CA2","MFNG","PLOD2","SERPINB1","CTSS","OIP5","SNX7","ABCA7","TPM4","UBAC1","NUSAP1","IGFBP4","NUP35","CXORF21","FMO3","CD34","SCG5","S100A14","CA2","LGALS3BP","DTL","HIST1H2BE","CD37","SRPX","LCP1","P4HA2","CADM1","NACAP1","NCF4","CRTAM","SNX7","CALD1","GIMAP2","MYOM3","TMEM158","HCLS1","P4HA2"
"102","FBN1","PFN2","GMFG","SPTA1","FAM89A","SNX7","HHEX","CD1E","BEX2","MECOM","LST1","WNT5A","NCAPG","UCP2","ISLR","BMP6","HCST","AKR1C2","IRAK3","RARRES2","ANXA9","CD37","TRIM63","SERPINE2","MYL9","PLEK","PTRF","CD37","CACNA2D1","ID1","GINS2","ATG16L2","GZMK","SULF1","LAMB1","SYNM","MLIP","ATP8B1","CD6","MYOF"
"103","FSTL1","HLA-DRA","SORL1","CMTM2","CLIC2","CAV1","CXCL2","TGFBI","FNBP1L","DAB2","GAPT","HIST1H4B","TNS1","ITM2A","HIST1H1E","SLC12A5","GINS1","NAT8","SPCS2","AASS","PKP1","TNFSF13B","BCL2A1","MBOAT1","PLEC","TGFBI","PCOLCE","BST1","ADAMTS6","DLGAP5","RBFOX2","TMEM154","AKNA","EPS8","NRP2","TRIM58","MYOM2","THBS1","PAG1","FERMT2"
"104","C1QA","MAN1C1","IFI30","RCSD1","FAM83D","PLAC9","PPBP","SLC15A3","CENPH","TM6SF1","CCDC88B","SLC2A1","RAP1GAP","AURKB","FSTL1","GPR143","CD300LF","HSD17B2","PTPN7","NELL2","HPGD","IL2RG","SDC3","LXN","TUBB3","AIF1","PFN2","APOBEC3A","RPS27A","CYYR1","GAP43","CYBB","SKAP1","FN1","SPTBN1","ENKUR","GLUL","CLDN11","KLF2","ACTA2"
"105","MALAT1","RBP1","DOCK2","HLA-DPA1","BTK","TWIST1","AKR1C3","MMP9","KIF5C","LIPG","SNX20","MET","RAD54L","DLGAP5","PCDH18","CTRB2","ARHGAP15","HSD11B1","HCLS1","ZSCAN10","TGM1","CD86","GAS7","ICAM2","LOXL1","LAT2","CYP1B1","GLT1D1","LOXL2","TPBG","MARCKSL1","KRT23","HCST","RAI14","TAF13","GAPT","ADPRHL1","EEF1A1","SLA","GPNMB"
"106","TPM3","SRPX","KBTBD8","GMFG","GAB3","PMEPA1","NAP1L3","ANPEP","TMEM47","LAPTM5","TMC6","LSR","CLIC2","MND1","TIMP3","STK31","GPR183","CLRN3","RARRES3","TMEM47","HAL","NR1H3","LAMB1","GMPR","UCHL1","ITGAM","THBS2","CSF3R","MAP1B","MEST","CENPF","GMFG","SCARNA17","CCND1","DLC1","ITGA2B","COX7A1","ARHGAP29","LPAR6","THBS1"
"107","PDGFRA","DCLK1","FAM65B","CXCR4","GTSF1","RND3","HLA-DQA1","RAMP1","FAT1","HCLS1","SORL1","TINAGL1","MCM2","SERF2","RCN3","ESRP1","ARHGDIB","CFI","LRRC70","MEST","PPL","SASH3","IL1RAP","PROK2","PXDN","CSF3R","FOSL1","NINJ2","DST","PBK","KIF21A","CXCL1","IL18R1","TMEM45A","FLT1","OXTR","KIAA1217","FKBP10","RASSF5","NUPR1"
"108","MMP2","TTYH1","PIK3AP1","RFESD","CCNB1","SRPX2","ARHGDIB","DNASE1L3","PMAIP1","NUAK1","ARHGAP27","IL20RB","FECH","HMMR","FBLN5","BUB1B","MS4A6A","GATM","CDCA7","COL1A2","EPHX3","CSF2RB","BAMBI","NCF4","ACTN4","SELL","AGTR1","FAR2","TMEM47","IGF2BP3","ARNT2","CD53","MATK","FOXD1","PITX1","CARD16","CSRP3","SERPINH1","GBP2","MAP1B"
"109","CCDC80","FAM134B","TPD52","CORO1A","RYR3","SRPX","EPX","LY96","CNN3","ROBO4","FES","SPINT2","PRC1","PF4","ADAMTS1","KIF4A","LMO2","C8B","GBP4","CALD1","S100P","CAPG","GNAL","PRSS21","CYR61","GIMAP6","CAV2","SLC22A15","FAM129B","RAI14","PABPC3","SOD2","HLA-F","CFH","PRKCDBP","TCL1A","ALPK3","KDELR3","SLAMF6","BGN"
"110","CFH","TMEM200C","C16ORF54","CLEC4D","ELOVL6","TNC","MNDA","CEBPA","SNX7","PXDN","CYTIP","PLAU","RANBP10","IST1","FAT1","SUSD3","SASH3","INHBE","IST1","CNN3","GPR87","HCLS1","TEAD1","LCP1","COL6A2","CTSH","LAMB1","COL17A1","TAF13","NUDT11","TUBB2A","SORL1","GMFG","MYL9","RND3","IL10RA","TBX15","PCOLCE2","PTPRCAP","PHLDA2"
