"","p_val","avg_logFC","pct_in_cluster","pct_out_cluster","p_val_adj","avg_UMI_in_cluster","avg_UMI_out_cluster","cluster","gene"
"146",0,3.242247608,0.959,0.115,0,17.76246801,0.982787542,7,"Clec3b"
"147",0,3.199278844,0.37,0.026,0,9.913234361,0.188159064,7,"Cxcl13"
"148",0,3.146802233,0.756,0.106,0,15.43780463,0.855931539,7,"Penk"
"149",0,3.134140931,0.996,0.643,0,64.33660598,6.441939578,7,"Gsn"
"150",0,3.099304623,0.907,0.255,0,19.01842837,1.335857372,7,"Csf1"
"151",0,-4.972894517,0.054,0.547,0,0.115444964,34.02987292,7,"Cd14"
"152",4.94065645841247e-324,-5.67599432,0.024,0.46,1.38328499522632e-319,0.260304544,63.43473513,7,"Cd74"
"153",6.33e-282,-4.543756825,0.036,0.438,1.77e-277,0.067689567,23.90302453,7,"H2-Ab1"
"154",1.22e-280,-5.104431851,0.014,0.389,3.41e-276,0.053502174,35.24286607,7,"Lyz2"
"155",1.27e-263,-5.074530311,0.008,0.369,3.56e-259,0.02161308,33.42486788,7,"Il1b"
"156",4.98e-242,-4.36452955,0.019,0.365,1.39e-237,0.035931463,20.33955384,7,"H2-Aa"
"157",1.97e-131,-4.2282225,0.003,0.203,5.52e-127,0.003016779,17.79879445,7,"Ccl3"
"158",2.05e-115,-3.758840957,0,0.167,5.75e-111,0,12.53704514,7,"Ccl4"
"159",7.15e-82,-4.600706023,0.012,0.158,2e-77,0.014382238,23.61229717,7,"S100a8"
"160",1.78e-72,-4.88534992,0.007,0.132,4.97e-68,0.009491441,28.83592496,7,"S100a9"
"161",0,5.698656445,0.671,0.069,0,88.40391768,0.721432607,8,"Ppbp"
"162",0,5.640568196,0.92,0.158,0,360.2405565,6.241295713,8,"Psca"
"163",0,5.218781237,0.854,0.109,0,125.0291276,2.384240644,8,"Ltf"
"164",0,4.696355095,0.747,0.101,0,68.52267875,1.681530516,8,"Sprr2f"
"165",0,4.6371625,0.986,0.431,0,111.1877608,3.508379563,8,"Gsto1"
"166",0,3.928771155,0.945,0.547,0,85.20074836,4.660216884,8,"Nupr1"
"167",0,3.872865214,0.958,0.072,0,23.35641408,0.662511852,8,"Mal"
"168",0,3.865039003,0.795,0.146,0,37.36491031,1.632943336,8,"Cxcl5"
